brand,title
Apple,Sell Old Apple
Samsung,Sell Old Samsung
Xiaomi,Sell Old Xiaomi
Motorola,Sell Old Motorola
Google,Sell Old Google
Lenovo,Sell Old Lenovo
OnePlus,Sell Old OnePlus
OPPO,Sell Old OPPO
Vivo,Sell Old Vivo
Huawei,Sell Old Huawei
Honor,Sell Old Honor
Asus,Sell Old Asus
Nokia,Sell Old Nokia
Sony,Sell Old Sony
LG,Sell Old LG
Panasonic,Sell Old Panasonic
Gionee,Sell Old Gionee
LeEco,Sell Old LeEco
Realme,Sell Old Realme
Micromax,Sell Old Micromax
YU,Sell Old YU
Blackberry,Sell Old Blackberry
HTC,Sell Old HTC
Coolpad,Sell Old Coolpad
Xolo,Sell Old Xolo
Intex,Sell Old Intex
Karbonn,Sell Old Karbonn
Infinix,Sell Old Infinix
Lava,Sell Old Lava
iVOOMi,Sell Old iVOOMi
